VARIABLES="X" "Y" "Vx" "Vy" 
Zone T = "single_2412_2412_ Streamlines" 
I=35, J=1, K=1 
0.936242, -0.332621, 0.979599, 0.012899 
0.949664, -0.332621, 0.979060, 0.012096 
0.963087, -0.332621, 0.978575, 0.011272 
0.976510, -0.332621, 0.978145, 0.010432 
0.989933, -0.332621, 0.977770, 0.009581 
1.003356, -0.332621, 0.977451, 0.008721 
1.016779, -0.332621, 0.977187, 0.007859 
1.030201, -0.332621, 0.976978, 0.006998 
1.043624, -0.332621, 0.976823, 0.006143 
1.057047, -0.332621, 0.976718, 0.005298 
1.070470, -0.332621, 0.976664, 0.004467 
1.083893, -0.332621, 0.976656, 0.003652 
1.097315, -0.332621, 0.976693, 0.002858 
1.110738, -0.332621, 0.976771, 0.002087 
1.124161, -0.332621, 0.976887, 0.001340 
1.137584, -0.332621, 0.977038, 0.000621 
1.151007, -0.332621, 0.977220, -0.000071 
1.164430, -0.332621, 0.977431, -0.000733 
1.177852, -0.332621, 0.977667, -0.001365 
1.191275, -0.332621, 0.977925, -0.001966 
1.204698, -0.332621, 0.978203, -0.002537 
1.218121, -0.332621, 0.978496, -0.003078 
1.231544, -0.332621, 0.978804, -0.003589 
1.244966, -0.332621, 0.979123, -0.004070 
1.258389, -0.332621, 0.979451, -0.004524 
1.271812, -0.332621, 0.979786, -0.004949 
1.285235, -0.332621, 0.980127, -0.005348 
1.298658, -0.332621, 0.980471, -0.005721 
1.312081, -0.332621, 0.980817, -0.006070 
1.325503, -0.332621, 0.981165, -0.006395 
1.338926, -0.332621, 0.981512, -0.006698 
1.352349, -0.332621, 0.981858, -0.006979 
1.365772, -0.332621, 0.982202, -0.007240 
1.379195, -0.332621, 0.982543, -0.007483 
1.392617, -0.332621, 0.982880, -0.007707 
1.406040, -0.332621, 0.983214, -0.007914 
1.419463, -0.332621, 0.983543, -0.008105 
1.432886, -0.332621, 0.983867, -0.008281 
1.446309, -0.332621, 0.984185, -0.008443 
1.459732, -0.332621, 0.984498, -0.008592 
1.473154, -0.332621, 0.984806, -0.008728 
1.486577, -0.332621, 0.985108, -0.008852 
1.500000, -0.332621, 0.985403, -0.008965 
-0.500000, -0.327781, 0.979659, 0.003859 
-0.486577, -0.327781, 0.979304, 0.003475 
